trial,participant_id,chord_type,tension_rating,dissonance,loudness_db
21,P08,minor,29.3,0.159,83.6
22,P08,augmented,31.7,0.461,62.2
23,P08,Major,14.6,0.069,56.5
24,P08,diminished-seventh,89.0,0.621,82.9
25,P08,dominant-seventh,53.7,0.33,73.2
26,P08,minor,20.5,0.13,63.2
27,P08,minor,37.4,0.15,77.2
28,P08,minor,50.4,0.151,78.0
29,P08,dominant-seventh,27.9,0.333,74.2
30,P08,major-seventh,38.7,0.199,80.5
31,P08,half-diminished,30.0,0.422,63.7
32,P08,Major,41.8,0.088,79.7
33,P08,dominant-seventh,16.9,0.274,55.6
34,P08,half-diminished,45.5,0.391,56.8
35,P08,Major,1.3,0.079,69.3
1,P09,half-diminished,47.2,0.481,76.9
2,P09,Major,0.9,0.086,77.7
3,P09,Major,19.0,0.082,72.7
4,P09,augmented,50.4,0.524,74.8
5,P09,dominant-seventh,35.4,0.303,64.7
6,P09,Major,6.3,0.079,68.6
7,P09,minor,1.0,0.128,61.1
8,P09,minor,13.1,0.122,56.8
9,P09,dominant-seventh,10.9,0.273,55.2
10,P09,diminished-seventh,62.1,0.568,73.3
11,P09,augmented,36.0,0.494,68.8
12,P09,minor,11.7,0.127,60.8
13,P09,diminished-seventh,80.0,0.614,81.7
14,P09,minor,0.0,0.135,66.7
15,P09,diminished-seventh,13.0,0.474,56.2
16,P09,dominant-seventh,52.6,0.365,84.1
17,P09,dominant-seventh,0.0,0.301,64.1
18,P09,major-seventh,18.7,0.184,72.2
19,P09,augmented,65.8,0.534,76.9
20,P09,major-seventh,12.8,0.174,66.5
21,P09,Major,1.9,0.083,73.8
22,P09,diminished-seventh,30.0,0.563,72.3
23,P09,half-diminished,31.6,0.4,58.8
24,P09,dominant-seventh,14.4,0.286,59.5
25,P09,diminished-seventh,54.9,0.559,71.7
26,P09,augmented,36.7,0.517,73.5
27,P09,minor,0.0,0.123,57.8
28,P09,major-seventh,16.3,0.181,70.4
29,P09,half-diminished,66.3,0.486,78.0
30,P09,Major,16.4,0.079,68.9
31,P09,augmented,73.3,0.527,75.4
32,P09,major-seventh,10.2,0.195,78.4
33,P09,half-diminished,18.8,0.414,61.9
34,P09,half-diminished,56.7,0.432,66.0
35,P09,major-seventh,6.4,0.183,71.4
1,P10,major-seventh,22.5,0.174,66.7
2,P10,augmented,31.0,0.455,61.0
3,P10,augmented,75.2,0.554,80.8
4,P10,dominant-seventh,64.1,0.348,78.6
5,P10,dominant-seventh,33.4,0.319,69.6
6,P10,minor,44.6,0.157,82.2
7,P10,Major,29.3,0.084,75.4
8,P10,minor,17.0,0.133,65.3
9,P10,dominant-seventh,44.0,0.315,68.3
10,P10,minor,13.1,0.149,76.1
11,P10,diminished-seventh,83.5,0.618,82.3
12,P10,major-seventh,41.8,0.192,76.5
13,P10,diminished-seventh,56.3,0.589,77.0
14,P10,augmented,43.1,0.478,65.6
15,P10,major-seventh,46.3,0.205,83.9
16,P10,half-diminished,17.2,0.385,55.5
17,P10,minor,0.0,0.128,61.4
18,P10,Major,10.7,0.072,59.8
19,P10,half-diminished,29.8,0.418,63.0
20,P10,diminished-seventh,32.4,0.491,59.2
21,P10,major-seventh,16.3,0.183,71.4
22,P10,half-diminished,0.6,0.395,57.7
23,P10,Major,52.9,0.091,84.1
24,P10,Major,0.8,0.073,61.6
25,P10,major-seventh,25.4,0.177,68.6
26,P10,dominant-seventh,4.6,0.276,56.4
27,P10,dominant-seventh,41.2,0.341,76.7
28,P10,diminished-seventh,33.0,0.493,59.7
29,P10,Major,0.0,0.077,66.3
30,P10,half-diminished,39.6,0.489,78.7
31,P10,minor,0.0,0.12,55.6
32,P10,half-diminished,21.1,0.43,65.5
33,P10,augmented,31.5,0.472,64.4
34,P10,augmented,47.2,0.524,74.8
35,P10,diminished-seventh,50.9,0.574,74.3
1,P11,half-diminished,58.2,0.494,79.7
2,P11,Major,39.8,0.085,76.6
3,P11,dominant-seventh,33.3,0.308,66.4
4,P11,augmented,54.4,0.484,66.8
5,P11,major-seventh,28.0,0.186,73.5
6,P11,Major,18.9,0.085,75.7
7,P11,dominant-seventh,12.8,0.311,67.1
8,P11,augmented,37.8,0.46,61.9
9,P11,diminished-seventh,30.5,0.508,62.4
10,P11,minor,16.1,0.146,74.1
11,P11,dominant-seventh,67.0,0.367,84.7
12,P11,half-diminished,45.3,0.419,63.1
13,P11,major-seventh,18.9,0.156,56.6
14,P11,diminished-seventh,76.2,0.607,80.3
15,P11,Major,11.6,0.071,58.9
16,P11,Major,27.1,0.084,74.7
17,P11,half-diminished,51.5,0.508,82.9
18,P11,major-seventh,26.8,0.183,71.9
19,P11,half-diminished,79.4,0.502,81.5
20,P11,major-seventh,20.1,0.183,71.9
21,P11,diminished-seventh,71.3,0.62,82.7
22,P11,minor,0.0,0.121,56.6
23,P11,minor,4.3,0.157,81.8
24,P11,Major,17.6,0.076,64.6
25,P11,augmented,45.3,0.525,74.9
26,P11,augmented,51.1,0.447,59.4
27,P11,diminished-seventh,89.3,0.605,80.0
28,P11,minor,33.1,0.148,76.0
29,P11,half-diminished,42.3,0.475,75.6
30,P11,dominant-seventh,48.4,0.306,65.7
31,P11,minor,20.8,0.123,57.9
32,P11,augmented,24.0,0.427,55.4
33,P11,major-seventh,27.5,0.163,60.7
34,P11,dominant-seventh,19.5,0.306,65.7
35,P11,diminished-seventh,50.9,0.529,66.1
1,P12,half-diminished,33.2,0.469,74.2
2,P12,dominant-seventh,31.9,0.285,59.1
3,P12,Major,6.8,0.073,61.1
4,P12,major-seventh,17.5,0.201,81.4
5,P12,dominant-seventh,26.7,0.338,75.7
6,P12,dominant-seventh,29.2,0.305,65.3
7,P12,half-diminished,45.5,0.441,67.9
8,P12,augmented,69.1,0.529,75.8
9,P12,major-seventh,8.4,0.156,56.7
10,P12,diminished-seventh,26.3,0.502,61.2
11,P12,augmented,22.2,0.439,57.7
12,P12,diminished-seventh,77.8,0.62,82.7
13,P12,major-seventh,29.9,0.179,69.7
14,P12,dominant-seventh,38.5,0.363,83.5
15,P12,Major,14.2,0.087,78.8
16,P12,Major,19.3,0.069,55.9
17,P12,augmented,64.7,0.528,75.7
18,P12,augmented,40.9,0.47,64.1
19,P12,half-diminished,61.3,0.502,81.6
20,P12,half-diminished,18.7,0.401,59.1
21,P12,Major,5.3,0.085,76.0
22,P12,minor,27.3,0.136,66.9
23,P12,minor,39.7,0.149,76.5
24,P12,half-diminished,44.7,0.474,75.3
25,P12,minor,47.5,0.16,84.4
26,P12,augmented,26.0,0.437,57.4
27,P12,minor,27.2,0.144,72.7
28,P12,major-seventh,30.0,0.177,68.6
29,P12,diminished-seventh,36.3,0.497,60.4
30,P12,Major,10.0,0.068,55.5
31,P12,minor,45.1,0.158,83.2
32,P12,dominant-seventh,37.8,0.362,83.1
33,P12,diminished-seventh,53.7,0.567,73.1
34,P12,major-seventh,13.6,0.187,74.0
35,P12,diminished-seventh,58.2,0.532,66.7
1,P13,augmented,7.9,0.47,64.0
2,P13,diminished-seventh,28.8,0.481,57.5
3,P13,diminished-seventh,30.3,0.543,68.8
4,P13,Major,20.3,0.084,74.9
5,P13,half-diminished,52.1,0.475,75.5
6,P13,half-diminished,57.4,0.483,77.3
7,P13,major-seventh,8.6,0.19,75.4
8,P13,augmented,71.2,0.574,84.7
9,P13,half-diminished,29.1,0.392,57.1
10,P13,augmented,32.4,0.466,63.1
11,P13,Major,3.2,0.075,63.6
12,P13,dominant-seventh,21.8,0.301,64.2
13,P13,augmented,58.9,0.549,79.9
14,P13,dominant-seventh,26.1,0.303,64.7
15,P13,Major,8.4,0.081,71.8
16,P13,diminished-seventh,35.7,0.49,59.0
17,P13,diminished-seventh,18.3,0.483,57.9
18,P13,Major,14.7,0.091,83.4
19,P13,major-seventh,30.9,0.195,78.2
20,P13,augmented,35.2,0.46,62.0
21,P13,minor,22.7,0.127,60.7
22,P13,dominant-seventh,38.8,0.328,72.6
23,P13,Major,18.4,0.088,79.4
24,P13,major-seventh,17.2,0.179,69.6
25,P13,half-diminished,44.8,0.504,81.9
26,P13,dominant-seventh,44.2,0.283,58.3
27,P13,major-seventh,37.7,0.193,77.4
28,P13,minor,0.0,0.127,60.6
29,P13,dominant-seventh,37.5,0.334,74.4
30,P13,diminished-seventh,63.8,0.603,79.6
31,P13,minor,15.4,0.134,65.7
32,P13,minor,30.7,0.142,71.2
33,P13,major-seventh,29.4,0.19,75.5
34,P13,half-diminished,30.8,0.439,67.5
35,P13,minor,24.1,0.134,65.6
1,P14,diminished-seventh,41.0,0.54,68.1
2,P14,Major,19.8,0.082,73.1
3,P14,minor,12.7,0.129,61.8
4,P14,half-diminished,39.4,0.472,74.9
5,P14,augmented,70.1,0.555,81.0
6,P14,dominant-seventh,51.9,0.361,82.7
7,P14,minor,44.6,0.16,84.5
8,P14,minor,13.0,0.134,65.7
9,P14,half-diminished,48.7,0.508,82.9
10,P14,diminished-seventh,86.2,0.611,81.0
11,P14,diminished-seventh,52.3,0.57,73.6
12,P14,minor,9.5,0.147,74.9
13,P14,Major,1.3,0.072,60.1
14,P14,Major,8.2,0.085,76.6
15,P14,Major,3.8,0.076,65.4
16,P14,augmented,19.3,0.453,60.5
17,P14,diminished-seventh,55.3,0.621,82.9
18,P14,dominant-seventh,30.1,0.286,59.5
19,P14,half-diminished,48.4,0.462,72.6
20,P14,dominant-seventh,34.0,0.36,82.6
21,P14,dominant-seventh,40.4,0.362,83.2
22,P14,augmented,29.7,0.458,61.6
23,P14,half-diminished,40.8,0.451,70.2
24,P14,major-seventh,5.7,0.154,55.4
25,P14,Major,22.9,0.074,63.1
26,P14,major-seventh,25.0,0.174,66.4
27,P14,diminished-seventh,61.7,0.581,75.6
28,P14,half-diminished,37.1,0.444,68.6
29,P14,major-seventh,0.0,0.166,62.1
30,P14,major-seventh,7.1,0.161,59.5
31,P14,augmented,34.0,0.485,67.1
32,P14,minor,14.8,0.13,62.7
33,P14,major-seventh,14.4,0.173,65.9
34,P14,augmented,60.6,0.542,78.5
35,P14,dominant-seventh,66.0,0.341,76.5
1,P15,major-seventh,31.6,0.188,74.6
2,P15,major-seventh,16.4,0.168,63.5
3,P15,minor,3.7,0.149,76.4
4,P15,half-diminished,65.0,0.476,75.8
5,P15,augmented,69.2,0.546,79.3
6,P15,Major,0.0,0.088,79.8
7,P15,dominant-seventh,10.6,0.28,57.5
8,P15,minor,0.0,0.122,56.8
9,P15,Major,0.0,0.075,63.4
10,P15,augmented,18.4,0.475,64.9
11,P15,Major,39.9,0.089,80.8
12,P15,major-seventh,19.1,0.178,68.9
13,P15,major-seventh,40.7,0.163,60.7
14,P15,Major,25.4,0.076,65.3
15,P15,diminished-seventh,23.3,0.476,56.5
16,P15,half-diminished,38.0,0.446,69.1
17,P15,diminished-seventh,69.2,0.612,81.2
18,P15,half-diminished,67.1,0.513,83.9
19,P15,minor,40.9,0.159,83.6
20,P15,Major,26.0,0.09,81.9
21,P15,minor,24.8,0.156,81.4
22,P15,augmented,36.3,0.447,59.3
23,P15,diminished-seventh,36.8,0.548,69.7
24,P15,augmented,40.5,0.487,67.5
25,P15,dominant-seventh,1.0,0.276,56.3
26,P15,minor,4.3,0.123,57.6
27,P15,diminished-seventh,61.0,0.576,74.8
28,P15,dominant-seventh,39.0,0.366,84.4
29,P15,half-diminished,69.6,0.508,83.0
30,P15,dominant-seventh,40.8,0.315,68.4
31,P15,diminished-seventh,36.3,0.539,68.0
32,P15,augmented,41.2,0.433,56.7
33,P15,dominant-seventh,38.3,0.307,66.0
34,P15,major-seventh,12.3,0.176,68.0
35,P15,half-diminished,58.6,0.458,71.7
1,P16,diminished-seventh,36.8,0.538,67.9
2,P16,half-diminished,9.3,0.394,57.6
3,P16,dominant-seventh,18.6,0.326,72.0
4,P16,half-diminished,33.0,0.487,78.3
5,P16,minor,14.8,0.155,80.4
6,P16,minor,9.4,0.12,55.7
7,P16,diminished-seventh,30.7,0.474,56.1
8,P16,diminished-seventh,46.2,0.529,66.1
9,P16,dominant-seventh,8.4,0.294,61.9
10,P16,diminished-seventh,56.5,0.544,69.0
11,P16,minor,16.5,0.153,79.4
12,P16,augmented,51.7,0.544,78.9
13,P16,major-seventh,6.1,0.189,74.8
14,P16,dominant-seventh,19.6,0.28,57.4
15,P16,major-seventh,1.6,0.199,80.8
16,P16,major-seventh,0.0,0.164,61.3
17,P16,half-diminished,19.2,0.422,63.7
18,P16,Major,5.0,0.07,57.1
19,P16,half-diminished,29.5,0.389,56.5
20,P16,Major,10.6,0.089,81.0
21,P16,augmented,61.5,0.539,77.9
22,P16,half-diminished,27.3,0.425,64.5
23,P16,dominant-seventh,28.7,0.356,81.4
24,P16,Major,4.8,0.078,67.3
25,P16,Major,9.1,0.086,77.3
26,P16,dominant-seventh,21.8,0.326,71.9
27,P16,minor,0.0,0.128,61.3
28,P16,major-seventh,13.7,0.187,73.8
29,P16,augmented,33.2,0.471,64.3
30,P16,major-seventh,0.0,0.165,61.8
31,P16,Major,7.1,0.073,61.8
32,P16,augmented,51.7,0.549,79.8
33,P16,augmented,49.2,0.452,60.3
34,P16,minor,0.0,0.13,63.2
35,P16,diminished-seventh,41.3,0.514,63.4
1,P17,dominant-seventh,13.9,0.303,64.6
2,P17,minor,19.4,0.147,75.1
3,P17,Major,11.2,0.09,83.1
4,P17,augmented,37.5,0.52,74.1
5,P17,diminished-seventh,52.9,0.52,64.5
6,P17,augmented,56.8,0.505,70.9
7,P17,augmented,49.2,0.454,60.8
8,P17,dominant-seventh,33.1,0.355,81.0
9,P17,dominant-seventh,51.9,0.341,76.6
10,P17,half-diminished,11.8,0.425,64.5
11,P17,dominant-seventh,50.9,0.347,78.4
12,P17,major-seventh,16.9,0.164,61.2
13,P17,minor,0.0,0.125,59.3
14,P17,Major,6.0,0.078,67.3
15,P17,half-diminished,6.3,0.392,57.1
16,P17,major-seventh,20.3,0.204,83.5
17,P17,dominant-seventh,34.1,0.307,65.9
18,P17,augmented,70.5,0.545,79.1
19,P17,Major,1.6,0.074,63.0
20,P17,diminished-seventh,66.6,0.617,82.2
21,P17,half-diminished,48.5,0.434,66.5
22,P17,Major,2.4,0.069,56.8
23,P17,major-seventh,12.5,0.205,83.9
24,P17,augmented,37.4,0.44,57.9
25,P17,half-diminished,53.9,0.517,84.9
26,P17,minor,44.6,0.132,64.3
27,P17,minor,0.0,0.128,61.5
28,P17,minor,2.5,0.132,64.1
29,P17,half-diminished,25.2,0.454,70.8
30,P17,major-seventh,21.1,0.198,80.1
31,P17,Major,0.0,0.072,59.6
32,P17,diminished-seventh,27.0,0.476,56.6
33,P17,diminished-seventh,49.1,0.596,78.4
34,P17,diminished-seventh,38.9,0.57,73.6
35,P17,major-seventh,56.2,0.207,84.8
1,P18,half-diminished,55.5,0.49,78.8
2,P18,augmented,45.2,0.464,62.9
3,P18,half-diminished,27.2,0.407,60.4
4,P18,major-seventh,28.0,0.197,79.4
5,P18,Major,24.9,0.091,83.9
6,P18,half-diminished,47.2,0.414,62.1
7,P18,major-seventh,32.4,0.197,79.3
8,P18,augmented,28.7,0.461,62.1
9,P18,dominant-seventh,33.7,0.304,65.0
10,P18,Major,3.4,0.073,60.7
11,P18,augmented,49.6,0.536,77.3
12,P18,Major,31.5,0.09,82.8
13,P18,minor,1.0,0.12,56.0
14,P18,minor,1.9,0.127,60.4
15,P18,half-diminished,42.0,0.441,68.1
16,P18,augmented,62.0,0.561,82.2
17,P18,dominant-seventh,38.5,0.33,73.1
18,P18,Major,52.6,0.082,72.6
19,P18,dominant-seventh,16.1,0.289,60.4
20,P18,diminished-seventh,63.1,0.554,70.8
21,P18,minor,0.0,0.144,72.9
22,P18,major-seventh,41.2,0.181,70.6
23,P18,half-diminished,32.3,0.397,58.2
24,P18,major-seventh,30.0,0.193,77.1
25,P18,Major,13.5,0.079,69.0
26,P18,augmented,56.3,0.511,72.2
